id,lat,lon,name,status,country,location
1876,-52.96659851,-74.0667038,Caleta Meteoro_CL,active,Chile,
1006,4.005785942,9.125922203,Cameroon - Port Sonara ,active,,
1277,48.84000015,-125.1399994,Canada - Bamfield,active,Canada,
1647,44.66999817,-63.58000183,Canada - Halifax,active,Canada,
1648,54.18333054,-133,Canada - Henslung Cove,active,Canada,
1353,56.54999924,-61.68000031,Canada - Nain,active,Canada,
1679,54.31999969,-130.3200073,Canada - Prince Rupert,active,Canada,
1696,47.56999969,-52.72000122,Canada - St. Johns,active,Canada,
1701,49.15000153,-125.9100037,Canada - Tofino,active,Canada,
1709,50.50999832,-129.0299988,Canada - Winter Harbour,active,,
2410,19.2950592,-81.38347626,Cayman Islands - George Town,active,Cayman Islands,
1875,-26.35666656,-70.64611053,Cha�aral_CL,active,Chile,
2366,-41.86740112,-73.83305359,Chile - Ancud,active,Chile,
1633,-41.86691284,-73.8316803,Chile - Ancud_Chile,active,,
1820,-62.47880173,-59.66439819,Chile - Antarctica Base Prat,active,Chile ,
2478,-62.47927094,-59.66289902,Chile - Antarctica Base Prat 3,active,Chile,
1634,-23.65313339,-70.40444183,Chile - Antofagasta_CL,active,,
1637,-18.47579956,-70.32322693,Chile - Arica_CL,active,,
2413,-52.64818954,-70.20918274,Chile - Bahia Gregorio_CL,active,Chile,
1714,-40.5807991,-73.73719788,Chile - Bahia Mansa_CL,active,,
2372,-40.58110046,-73.7370224,Chile - Bahia Mansa_CL 2,active,Chile,
2376,-34.63938141,-72.0462265,Chile - Bucalemu_CL,active,Chile,
829,-27.05800056,-70.83399963,Chile - Caldera_CL ,active,,
2389,-52.95999908,-74.06600189,Chile - Caleta Meteoro_CL,active,Chile,
1719,-42.48054886,-73.7583313,Chile - Castro_CL,active,,
2398,-42.48088837,-73.758461,Chile - Castro_CL 2,active,Chile,
1502,-35.36000061,-72.45999908,Chile - Constitucion ,active,,
2392,-35.35591888,-72.45809937,Chile - Constitucion_CL,active,Chile,
847,-29.93000031,-71.34999847,Chile - Coquimbo_CL ,active,,
2393,-29.95006943,-71.33529663,Chile - Coquimbo_CL 2,active,Chile,
2397,-37.02861023,-73.1517334,Chile - Coronel_CL,active,Chile,
849,-39.86669922,-73.4332962,Chile - Corral_CL ,active,,
2396,-39.88660049,-73.4274826,Chile - Corral_CL 2,active,Chile,
865,-27.15299988,-109.447998,Chile - Easter_CL ,active,,
2402,-27.15485001,-109.4393997,Chile - Easter_CL 2,active,Chile,
2418,-28.46081924,-71.22383118,Chile - Huasco_CL 2,active,Chile,
2419,-28.46081924,-71.22383118,Chile - Huasco_CL 3,active,Chile,
901,-20.2166996,-70.16999817,Chile - Iquique_CL ,active,,
