ID,lat,lon,name,status,COUNTRY
1630,36.83,-2.48,Spain - Almeria,active,
1631,18.3333,-64.9167,USA - Charlotte-Amalie_VI,active,
1632,61.238,-149.888,USA - Anchorage_AK,active,
1633,-41.86691,-73.83168,Chile - Ancud_Chile,active,
1634,-23.65313,-70.40444,Chile - Antofagasta_CL,active,
1635,29.727,-84.982,USA - Apalachicola_FL,active,
1636,38.913,-123.705,USA - Arena_Cove_CA,active,
1637,-18.4758,-70.32323,Chile - Arica_CL,active,
1638,28.9716,-13.5303,Spain - Arrecife,active,
1639,-7.91666,-14.41666,UK - Ascension,active,
1640,46.208,-123.767,USA - Astoria_OR,active,
1641,39.267,-76.578,USA - Baltimore_MD,active,
1642,41.1733,-73.1816,USA - Bridgeport_CT,active,
1643,43.5273,-1.51483,France - Boucau-Bayonne,active,
1644,40.7,-74.02,USA - Battery_The_NY,active,
1645,38.5733,-76.0683,USA - Cambridge_MD,active,
1646,48.863,-122.758,USA - Cherry_Point_WA,active,
1647,44.67,-63.58,Canada - Halifax,active,Canada
1648,54.18333,-133,Canada - Henslung Cove,active,Canada
1649,-20.69283,164.9422,France - Hienghene (New Caledonia),active,
